epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,105.985,0.66702,0.92249,1.1554,0.7215,0.33333,0.33431,0.18316,1.65887,2.09981,1.97002,0.0014588,0.0014588,0.0014588
43,107.614,0.68034,0.94095,1.16712,0.46616,0.33333,0.29429,0.18175,1.46726,2.12471,1.81608,0.0014456,0.0014456,0.0014456
44,109.176,0.72494,0.92246,1.22024,0.58559,0.33333,0.36949,0.20982,1.39067,2.0857,1.758,0.0014324,0.0014324,0.0014324
45,110.685,0.67178,0.86616,1.10079,0.58559,0.33333,0.36949,0.20982,1.39067,2.0857,1.758,0.0014192,0.0014192,0.0014192
46,112.313,0.63681,0.84529,1.13105,0.72575,0.28571,0.3678,0.25314,1.29104,2.01845,1.65655,0.001406,0.001406,0.001406
47,114.055,0.62464,0.81661,1.12178,0.76533,0.33333,0.41116,0.31373,1.34231,1.92041,1.53793,0.0013928,0.0013928,0.0013928
48,116.558,0.63367,0.80322,1.10191,0.8875,0.3762,0.44792,0.32489,1.20869,1.86566,1.46513,0.0013796,0.0013796,0.0013796
49,118.359,0.60145,0.8379,1.11642,0.8875,0.3762,0.44792,0.32489,1.20869,1.86566,1.46513,0.0013664,0.0013664,0.0013664
50,119.971,0.66791,0.83409,1.07067,0.72179,0.52381,0.54447,0.36939,1.14067,1.7398,1.42036,0.0013532,0.0013532,0.0013532
51,121.578,0.639,0.82545,1.13626,0.85273,0.38095,0.4871,0.37818,1.05698,1.66543,1.429,0.00134,0.00134,0.00134
52,123.208,0.61082,0.85931,1.15419,1,0.42305,0.50924,0.34493,1.1508,1.73642,1.55949,0.0013268,0.0013268,0.0013268
53,124.839,0.59828,0.78252,1.13907,1,0.42305,0.50924,0.34493,1.1508,1.73642,1.55949,0.0013136,0.0013136,0.0013136
54,126.428,0.5817,0.70755,1.06045,0.74473,0.38095,0.47057,0.28032,1.33024,2.08616,1.56752,0.0013004,0.0013004,0.0013004
55,128.489,0.61572,0.79554,1.0857,0.70677,0.38095,0.44309,0.2335,1.54072,2.16628,1.82449,0.0012872,0.0012872,0.0012872
56,131.006,0.62682,0.79522,1.13067,0.87472,0.33259,0.438,0.23294,1.71532,2.12621,2.0343,0.001274,0.001274,0.001274
57,132.691,0.58619,0.75492,1.07837,0.87472,0.33259,0.438,0.23294,1.71532,2.12621,2.0343,0.0012608,0.0012608,0.0012608
58,134.303,0.68042,0.75246,1.12181,0.70822,0.38095,0.50587,0.27505,1.64951,1.95792,1.95474,0.0012476,0.0012476,0.0012476
59,135.843,0.59953,0.76534,1.11451,0.70966,0.46616,0.4747,0.26482,1.67919,1.87442,1.97543,0.0012344,0.0012344,0.0012344
60,137.52,0.62057,0.76449,1.14168,0.57482,0.42857,0.45063,0.23481,1.6033,1.99339,1.936,0.0012212,0.0012212,0.0012212
61,139.075,0.6183,0.76569,1.05922,0.57482,0.42857,0.45063,0.23481,1.6033,1.99339,1.936,0.001208,0.001208,0.001208
62,140.702,0.59422,0.74767,1.06202,0.7965,0.42857,0.51728,0.33422,1.25081,1.90244,1.51285,0.0011948,0.0011948,0.0011948
63,143.05,0.58564,0.70138,1.07783,0.95206,0.42857,0.60467,0.43727,1.09045,1.60044,1.37041,0.0011816,0.0011816,0.0011816
64,145.094,0.56057,0.70915,1.05666,0.83309,0.47619,0.61087,0.4781,1.01141,1.48921,1.35686,0.0011684,0.0011684,0.0011684
65,146.66,0.58536,0.7428,1.08057,0.83309,0.47619,0.61087,0.4781,1.01141,1.48921,1.35686,0.0011552,0.0011552,0.0011552
66,148.217,0.53371,0.69038,1.02936,0.69753,0.57143,0.56791,0.47614,0.99793,1.49696,1.29919,0.001142,0.001142,0.001142
67,149.839,0.60639,0.74751,1.09757,0.73377,0.57143,0.59849,0.48699,0.97034,1.52937,1.28223,0.0011288,0.0011288,0.0011288
68,151.429,0.56679,0.66809,1.06772,0.82842,0.52381,0.57619,0.45968,0.99914,1.50496,1.35466,0.0011156,0.0011156,0.0011156
69,152.925,0.57466,0.68408,1.07594,0.82842,0.52381,0.57619,0.45968,0.99914,1.50496,1.35466,0.0011024,0.0011024,0.0011024
70,154.723,0.53005,0.6384,1.00938,0.65032,0.42857,0.43692,0.31668,1.08855,1.89952,1.4279,0.0010892,0.0010892,0.0010892
71,157.076,0.57112,0.6668,1.09801,0.55766,0.42857,0.44352,0.30722,1.22348,2.09456,1.49138,0.001076,0.001076,0.001076
72,159.039,0.57416,0.68308,1.10685,0.82444,0.44825,0.51881,0.35148,1.19643,1.87432,1.46712,0.0010628,0.0010628,0.0010628
73,160.579,0.52511,0.63924,1.04169,0.82444,0.44825,0.51881,0.35148,1.19643,1.87432,1.46712,0.0010496,0.0010496,0.0010496
74,162.306,0.53636,0.68504,1.09059,0.69304,0.52381,0.53488,0.40053,1.05253,1.69009,1.33805,0.0010364,0.0010364,0.0010364
75,163.95,0.51958,0.64481,1.02507,0.70268,0.61905,0.56281,0.46264,0.91602,1.35637,1.24681,0.0010232,0.0010232,0.0010232
76,165.578,0.5195,0.65086,1.03766,0.66432,0.57143,0.6444,0.5235,0.82681,1.26065,1.16912,0.00101,0.00101,0.00101
77,167.04,0.53911,0.62434,1.06156,0.66432,0.57143,0.6444,0.5235,0.82681,1.26065,1.16912,0.0009968,0.0009968,0.0009968
78,169.204,0.51272,0.59398,0.99108,0.78749,0.47619,0.65512,0.53261,0.85946,1.22371,1.17384,0.0009836,0.0009836,0.0009836
79,171.589,0.56,0.60408,1.04589,0.51499,0.71429,0.64437,0.47419,0.89555,1.29102,1.17712,0.0009704,0.0009704,0.0009704
80,173.272,0.51522,0.61128,1.0517,0.80845,0.42857,0.60285,0.4405,0.94481,1.44602,1.22621,0.0009572,0.0009572,0.0009572
81,174.819,0.5269,0.61894,1.01632,0.80845,0.42857,0.60285,0.4405,0.94481,1.44602,1.22621,0.000944,0.000944,0.000944
82,176.428,0.53531,0.63195,1.05265,0.69881,0.47619,0.52682,0.39561,0.93656,1.64409,1.18134,0.0009308,0.0009308,0.0009308
83,178.055,0.47382,0.59533,1.01166,0.77595,0.52381,0.58551,0.39517,0.90447,1.59855,1.18073,0.0009176,0.0009176,0.0009176
84,179.618,0.4761,0.5859,0.94358,0.88414,0.52381,0.61329,0.45345,0.89581,1.48878,1.20797,0.0009044,0.0009044,0.0009044
85,181.181,0.46323,0.53613,0.98866,0.88414,0.52381,0.61329,0.45345,0.89581,1.48878,1.20797,0.0008912,0.0008912,0.0008912
86,183.46,0.49282,0.57944,1.01148,0.7481,0.566,0.62757,0.47185,0.89089,1.40108,1.22475,0.000878,0.000878,0.000878
87,185.649,0.46749,0.5404,1.0215,0.67119,0.66667,0.62088,0.48419,0.98497,1.34729,1.26033,0.0008648,0.0008648,0.0008648
88,187.305,0.53724,0.59635,1.08419,0.71787,0.60636,0.59362,0.45662,1.05067,1.33359,1.2881,0.0008516,0.0008516,0.0008516
89,188.885,0.5276,0.57303,1.00445,0.71787,0.60636,0.59362,0.45662,1.05067,1.33359,1.2881,0.0008384,0.0008384,0.0008384
90,190.511,0.5353,0.70342,1.07838,0.6632,0.61905,0.58184,0.44638,1.08128,1.29705,1.28491,0.0008252,0.0008252,0.0008252
91,192.052,0.49001,0.55897,1.01651,0.64992,0.7075,0.63029,0.47727,1.00423,1.22549,1.22516,0.000812,0.000812,0.000812
92,193.738,0.43746,0.54633,1.04121,0.53756,0.71429,0.61285,0.47214,0.95646,1.25151,1.20082,0.0007988,0.0007988,0.0007988
93,195.291,0.4675,0.58557,1.00792,0.53756,0.71429,0.61285,0.47214,0.95646,1.25151,1.20082,0.0007856,0.0007856,0.0007856
